app_name,raw_label,predict_label
逼哩逼哩,1,1
澳门新葡京,1,1
偷窃少女的教育方法,1,1
轩辕剑：剑之源,0,0
逼哩逼哩,1,1
涂色动画秀,0,0
春雨直播,1,1
福居好房,0,0
逼哩逼哩,1,1
工商信贷,1,1
太阳城娱乐城,1,1
右手视频,1,1
一本道,1,1
GreatLearn,0,0
农业信贷,1,1
萌萝社,1,1
右手视频,1,1
来个单,0,0
逼哩逼哩,1,1
网红视频,1,1
50度灰,1,1
放置封神正版,0,0
一本道,1,1
右手视频,1,1
一本道,1,1
农业信贷,1,1
菊花,1,1
NightmareDorm,0,0
逼哩逼哩,1,1
爱丝视频,1,1
新葡京娱乐场,1,1
新葡京娱乐城,1,1
8090捕鱼街机,1,1
申博太阳城,1,1
工商信贷,1,1
米乐星球课pad,0,0
右手视频,1,1
尺书,0,0
右手视频,1,1
吾爱传承,0,0
东京热,1,1
德阳招聘网,0,0
尺子测量,0,0
亿兆体育,1,1
纯净版,1,1
Burabi+,0,0
清柠视频,0,1
车好友,0,0
50度灰,1,1
不败精灵,0,0
趣博,1,1
红豆,1,1
旺旺版演示,1,1
e尚,0,0
纯净版,1,1
讯飞有声,0,0
右手视频,1,1
右手视频,1,1
永恒修仙,0,0
起名,0,0
汤头条,1,1
立博体育,1,1
艺点点,0,0
极速入职,1,1
捷帮优聘,1,1
捕鱼炸翻天,0,1
右手视频,1,1
萌萝社,1,1
课课作业,0,0
吉祥娱乐,1,1
纯净版,1,1
左手视频,1,1
太阳城集团,1,1
学咖为伍,0,0
bet365,1,1
右手视频,1,1
比兔TV,1,1
澳门金沙娱乐城,1,1
左手视频,1,1
右手视频,1,1
右手视频,1,1
光明云媒,0,0
丝瓜直播,1,1
萌萝社,1,1
伟德娱乐,1,1
小视频收藏家,0,1
立博体育,1,1
右手视频,1,1
古今,0,1
澳门威尼斯人,1,1
澄迈空气,0,0
坦克风云,0,0
快手约炮,1,1
bet365,1,1
存图宝,0,0
萌萝社,1,1
数鼎二手车,0,0
捷帮优聘,1,1
恒大,1,1
逼哩逼哩,1,1
纯净版,1,1
右手视频,1,1
51VV,0,0
动物汽车大冒险,0,0
萌萝社,1,1
萌萝社,1,1
网红视频,1,1
右手视频,1,1
轿车托运,0,0
梦想之城,1,1
bet365官网,1,1
建考在线,0,0
右手视频,1,1
右手视频,1,1
QQ爱彩,1,1
萌萝社,1,1
影视剪辑,0,0
7频道,0,0
昌盛娱乐,1,1
e合健康,0,0
逼哩逼哩,1,1
捷帮优聘,1,1
威尼斯人,1,1
六里巴巴,0,0
书法宝典,0,0
健康中国,0,1
喵窝管家,0,1
新浪体育,0,0
右手视频,1,1
快猫,1,1
纯净版,1,1
右手视频,1,1
星火移动OA,0,0
辽宁日报,0,0
逼哩逼哩,1,1
逼哩逼哩,1,1
街机金蟾捕鱼2,1,1
闪聘直招,1,1
口袋斗地主,0,0
口袋直聘,1,1
茄子视频,1,1
右手视频,1,1
大象冥想,0,0
就业创业,0,1
右手视频,1,1
逼哩逼哩,1,1
华教课堂,0,0
右手视频,1,1
捷帮优聘,1,1
纯净版,1,1
右手视频,1,1
汁乎,1,1
多多海洋动物,0,0
淘气抓娃娃,0,0
998,1,1
看剧社,1,1
火鸟健康,0,0
纯净版,1,1
大唐,1,1
农业信贷,1,1
芭樂視頻,1,1
SuperBot,0,0
萌萝社,1,1
68影视,1,1
汁乎,1,1
专属兼职,1,1
农业信贷,1,1
右手视频,1,1
ICBC,1,1
TemperatureWidget,0,0
红牛视频,1,1
美月有喜,0,0
新葡京娱乐场,1,1
兴趣部落,1,1
瑞狗,0,0
趣博,1,1
拉斯维加斯,1,1
自然灾害课程二,0,0
大玩家,1,1
Crov,0,0
海上名医,0,0
沧浪亭导游,0,0
汁乎,1,1
纯净版,1,1
泰兴隆,0,0
惠农助手,0,0
对口直招,0,0
金典国际,1,1
STESSO,0,0
右手视频,1,1
百家姓氏,0,0
多多恐龙岛,0,0
暗TV,1,1
小学六年级数学,0,0
街机金蟾捕鱼2,1,1
Evony,0,0
百易街机金蟾捕鱼2,1,1
随便玩长沙麻将,0,0
右手视频,1,1
优音变声器,0,0
纯净版,1,1
爱奇艺漫画,0,0
新葡京娱乐城,1,1
50度灰,1,1
出入库管理,0,1
工商信贷,1,1
创客直聘,1,1
纯净版,1,1
逼哩逼哩,1,1
网红视频,1,1
呼吸云,0,0
pacer,0,0
